name	number
six	76
two	99
two	76
three	68
three	73
six	22
six	40
six	34
one	6
eight	94
ten	43
three	70
eight	66
ten	64
three	88
eight	73
five	4
nine	6
ten	53
three	77
two	76
ten	48
one	27
nine	56
three	21
six	44
nine	92
two	73
nine	80
nine	41
seven	6
four	37
eight	79
seven	63
six	33
five	96
two	79
one	53
six	64
eight	72
six	78
six	92
nine	72
nine	93
four	13
one	72
four	13
eight	47
eight	27
seven	13
ten	87
ten	62
nine	75
five	4
two	84
three	93
three	32
one	73
five	69
seven	24
nine	30
eight	25
eight	47
six	73
nine	90
four	42
eight	24
five	59
three	84
nine	43
one	69
six	90
one	14
eight	47
seven	74
one	15
four	98
three	19
one	54
five	44
five	29
four	8
three	17
two	44
eight	81
eight	47
four	20
two	70
nine	8
three	1
eight	93
six	95
four	86
one	65
six	97
one	80
nine	61
four	61
five	18
nine	17
nine	58
seven	34
ten	5
one	78
two	27
six	17
seven	42
three	16
five	17
five	56
five	55
one	83
eight	15
nine	47
one	8
three	59
nine	48
four	25
seven	10
two	76
two	52
six	34
three	43
one	54
two	42
six	89
two	23
three	30
four	31
three	40
ten	0
two	27
eight	54
seven	80
one	98
five	42
nine	78
two	15
five	48
five	13
ten	1
seven	72
five	51
seven	32
three	52
three	59
eight	11
five	37
four	99
six	58
three	92
six	34
eight	39
ten	30
one	1
seven	20
five	34
six	95
ten	48
seven	11
ten	98
eight	33
seven	42
four	5
ten	88
ten	5
three	39
ten	24
one	12
six	78
two	40
six	91
one	68
ten	34
six	36
eight	50
six	91
eight	18
ten	39
eight	27
nine	68
ten	66
three	46
seven	44
two	38
six	29
one	12
nine	74
six	80
four	68
eight	13
six	93
four	12
seven	52
four	93
nine	49
ten	85
one	63
one	84
five	38
nine	59
ten	0
nine	26
six	48
three	39
eight	26
ten	97
ten	6
ten	18
four	92
four	2
one	42
one	65
eight	21
two	99
one	90
five	43
one	84
eight	74
seven	31
ten	15
one	69
ten	24
seven	15
two	16
six	81
three	21
one	34
three	10
four	82
eight	25
one	85
eight	53
three	10
seven	75
one	88
one	5
ten	33
nine	51
ten	83
one	65
seven	57
six	4
ten	4
eight	44
two	66
four	72
nine	57
two	67
six	48
five	94
two	37
six	54
eight	64
five	56
six	29
three	88
nine	80
five	40
one	24
four	62
four	11
three	22
seven	47
seven	8
four	81
four	80
seven	91
three	0
two	63
six	78
nine	92
two	7
one	14
eight	98
ten	44
one	24
four	23
two	8
nine	68
eight	92
three	27
ten	84
eight	93
one	30
two	90
one	17
eight	71
three	52
four	89
seven	12
six	40
six	55
nine	14
ten	64
ten	74
six	75
nine	38
six	86
eight	3
eight	88
five	8
ten	44
nine	45
three	31
five	48
one	25
nine	68
one	47
nine	45
five	80
four	98
seven	38
ten	77
seven	98
seven	78
two	73
eight	68
eight	35
six	60
three	22
ten	98
eight	68
seven	41
nine	44
seven	40
nine	33
five	55
one	63
one	76
eight	92
five	4
two	60
eight	84
five	49
three	76
five	57
two	31
eight	11
nine	98
eight	23
four	39
seven	20
three	82
one	97
four	10
eight	92
four	16
six	87
five	87
six	96
nine	31
ten	71
one	39
one	21
four	87
six	91
nine	7
nine	25
nine	91
six	39
ten	90
five	79
nine	85
one	40
five	80
seven	17
seven	8
eight	70
two	68
nine	34
eight	71
eight	17
five	81
two	46
seven	82
five	29
three	74
seven	19
five	51
nine	40
seven	64
ten	5
two	55
three	32
ten	6
eight	56
two	22
seven	18
nine	8
two	41
one	93
four	66
nine	46
four	95
one	39
ten	26
ten	17
three	29
four	44
one	68
eight	97
six	6
five	12
six	48
four	96
one	11
two	82
two	43
nine	46
eight	94
ten	32
three	32
seven	91
five	91
six	6
three	11
five	78
seven	93
four	15
nine	82
four	10
one	91
eight	25
one	69
eight	39
one	34
four	15
seven	91
three	97
seven	62
three	70
one	40
one	4
ten	34
five	13
nine	85
one	32
ten	34
nine	79
seven	10
two	69
seven	84
three	81
five	37
ten	59
ten	17
seven	68
seven	68
one	38
six	42
eight	25
one	57
seven	23
five	35
five	36
four	53
two	8
two	5
three	64
ten	59
three	30
one	51
seven	39
seven	87
ten	39
eight	25
seven	88
three	15
seven	4
seven	51
nine	24
five	20
six	40
five	57
four	66
four	49
seven	57
five	27
eight	63
one	69
eight	80
six	75
eight	81
nine	23
five	33
nine	75
five	64
six	72
three	28
two	19
six	31
ten	50
nine	77
five	80
eight	71
nine	22
eight	68
one	45
six	55
eight	5
six	50
four	72
eight	77
one	8
one	16
two	18
seven	77
one	11
four	46
eight	35
three	73
three	97
nine	27
one	61
nine	75
nine	65
seven	71
ten	88
eight	30
seven	74
one	91
two	72
three	36
nine	13
five	43
nine	13
six	53
two	88
eight	4
six	93
one	8
one	31
four	37
five	9
eight	29
seven	18
two	18
nine	63
three	8
eight	7
one	20
six	7
one	72
nine	76
ten	28
four	80
two	96
two	15
eight	60
three	72
seven	96
one	59
ten	49
five	40
three	54
two	30
one	40
two	56
two	36
five	19
nine	34
three	50
seven	90
four	26
ten	70
seven	96
nine	80
six	56
six	64
seven	1
five	36
two	78
ten	59
eight	69
seven	86
six	54
nine	23
nine	1
two	26
eight	19
five	46
one	15
one	63
four	63
six	61
four	47
ten	17
two	82
two	47
two	65
four	80
nine	82
nine	76
nine	36
four	47
seven	52
ten	30
one	24
four	20
eight	98
one	57
nine	65
four	33
two	43
one	21
three	68
eight	32
four	81
nine	34
three	20
four	59
three	38
seven	28
four	3
two	8
seven	96
seven	43
eight	39
eight	79
nine	91
two	28
one	43
seven	18
three	14
five	71
nine	28
four	56
two	18
four	13
eight	90
five	26
two	70
three	22
seven	48
ten	57
six	46
four	10
three	37
seven	59
five	83
three	71
three	41
six	83
six	74
six	43
one	56
eight	91
one	43
two	41
ten	26
nine	16
three	8
three	53
two	38
seven	43
eight	42
eight	97
six	59
four	58
five	55
four	94
two	82
ten	16
five	67
eight	57
six	34
five	27
ten	96
one	5
one	14
four	84
three	5
eight	92
nine	40
seven	95
eight	20
four	68
four	8
four	72
three	66
five	96
one	73
nine	87
nine	38
nine	69
six	55
five	28
ten	19
three	59
one	84
six	56
six	59
five	21
four	79
six	98
eight	19
five	32
seven	49
two	52
one	91
nine	69
six	50
three	30
seven	48
seven	58
nine	69
four	14
ten	2
four	35
ten	25
five	32
seven	79
eight	75
four	78
seven	81
two	64
two	98
two	8
one	71
ten	69
three	40
seven	32
one	42
five	93
eight	43
four	93
four	78
three	62
six	56
eight	23
two	6
seven	62
two	32
nine	19
five	10
nine	3
eight	38
ten	51
eight	96
four	36
two	0
two	48
seven	28
seven	0
ten	75
three	1
seven	96
one	98
nine	44
seven	43
seven	22
six	98
four	29
eight	14
four	75
four	39
four	36
six	80
one	38
two	96
four	61
two	89
two	60
one	55
six	93
four	33
five	23
four	99
three	38
three	2
six	25
two	91
six	97
ten	98
five	88
nine	28
six	9
two	99
five	20
four	25
two	66
five	56
two	33
eight	59
one	38
six	52
seven	69
five	48
two	14
three	39
seven	60
five	79
eight	36
five	57
four	1
nine	68
three	52
nine	31
three	29
six	91
six	95
nine	6
seven	60
six	69
four	68
eight	49
ten	61
four	21
one	6
three	98
six	32
two	92
eight	28
two	43
two	54
one	28
four	46
one	78
eight	76
seven	55
three	44
four	90
two	25
four	4
six	77
two	93
two	9
ten	10
one	27
nine	1
two	23
eight	55
six	43
seven	96
one	60
five	21
seven	54
eight	76
nine	49
five	35
one	88
three	26
three	57
eight	88
ten	62
two	55
six	34
six	36
four	95
five	16
one	91
seven	76
six	1
two	63
one	94
two	51
one	73
nine	97
nine	28
six	88
three	3
four	58
six	41
one	18
one	75
one	87
three	78
ten	37
six	94
nine	86
one	36
eight	97
eight	13
six	79
two	16
seven	5
eight	75
two	44
seven	48
three	38
two	82
one	9
nine	80
four	77
nine	1
ten	15
two	28
eight	93
six	91
four	28
ten	14
six	5
ten	16
three	50
ten	55
nine	3
three	36
five	99
ten	59
two	95
seven	17
ten	22
seven	18
three	82
three	72
ten	14
three	5
six	85
five	5
seven	54
three	87
nine	31
five	66
three	9
eight	88
six	63
five	80
three	38
six	35
six	82
two	15
ten	76
four	7
six	18
seven	3
ten	20
two	51
five	49
three	7
nine	67
ten	18
eight	58
five	87
ten	7
four	11
eight	0
nine	7
four	15
two	3
eight	60
six	2
eight	54
seven	65
one	66
eight	37
four	59
four	72
four	9
five	71
two	91
four	44
five	72
seven	56
eight	80
four	95
nine	91
five	82
six	33
eight	28
six	86
seven	92
three	46
one	79
two	2
eight	7
three	66
four	26
eight	71
four	41
four	69
six	18
nine	92
seven	53
six	44
six	28
nine	97
three	63
six	27
eight	66
three	10
five	45
six	39
one	3
one	71
ten	80
one	41
five	73
six	37
seven	11
two	34
two	84
seven	0
nine	69
two	25
one	17
three	79
two	50
seven	75
nine	3
seven	31
five	49
two	23
two	33
ten	93
nine	17
one	88
nine	56
one	93
six	83
one	64
eight	84
ten	85
eight	14
seven	15
ten	84
nine	60
one	79
four	55
ten	61
six	65
eight	30
three	77
eight	45
three	91
three	70
two	84
one	25
one	6
seven	66
nine	29
two	45
two	63
five	75
ten	69
two	66
four	18
four	83
one	51
eight	51
nine	54
six	34
nine	15
eight	33
nine	66
eight	81
three	26
one	11
five	26
six	96
four	99
two	10
one	0
five	27
ten	54
nine	38
eight	89
two	17
five	18
seven	41
four	64
six	68
nine	58
four	47
eight	76
ten	60
one	75
six	61
two	45
ten	21
seven	24
ten	63
two	48
eight	49
six	59
six	62
one	24
six	0
six	78
one	74
ten	94
three	16
seven	65
five	2
seven	95
one	15
five	3
one	73
ten	85
seven	44
two	39
nine	15
four	44
three	25
three	0
seven	95
six	95
three	5
three	77
one	34
seven	90
four	76
four	14
eight	91
one	0
three	72
two	54
ten	94
six	5
eight	30
one	66
three	35
four	13
seven	1
ten	71
two	44
six	30
six	94
nine	35
eight	48
four	97
one	1
ten	82
eight	33
six	37
eight	0
two	18
eight	98
eight	75
nine	1
nine	62
eight	77
seven	88
three	67
three	3
eight	89
three	27
three	82
two	11
two	94
nine	41
eight	91
one	83
two	63
nine	70
three	28
four	9
five	42
seven	46
five	49
two	95
three	6
six	42
five	40
nine	19
one	36
one	48
seven	27
ten	9
five	66
two	58
ten	53
two	64
seven	31
eight	13
three	42
ten	59
three	4
five	77
five	79
ten	19
five	72
five	57
five	18
one	27
five	94
four	45
two	62
seven	81
four	17
two	46
ten	82
eight	9
three	96
three	10
eight	81
nine	44
one	55
eight	20
nine	82
one	50
one	89
eight	8
one	73
eight	55
six	88
two	6
nine	88
nine	11
four	90
nine	25
ten	97
six	90
four	36
five	8
two	67
three	32
eight	28
eight	16
nine	97
seven	89
six	88
five	57
ten	15
four	94
five	32
nine	84
seven	66
three	6
six	26
nine	55
five	15
ten	28
four	84
four	52
five	77
three	42
nine	77
three	77
seven	35
two	58
nine	95
three	70
four	78
five	29
eight	29
seven	46
six	92
seven	51
ten	26
nine	27
four	1
three	3
five	28
five	37
eight	53
three	78
one	31
eight	22
eight	65
nine	85
seven	60
four	92
five	81
ten	19
five	94
six	43
seven	92
three	45
nine	61
four	1
six	19
two	35
one	4
nine	32
two	52
five	98
six	56
three	21
two	41
four	8
four	87
ten	32
ten	12
five	79
six	17
nine	25
one	28
eight	37
six	91
seven	7
ten	68
three	15
ten	82
two	20
five	84
five	50
eight	57
three	90
three	55
six	34
eight	36
three	83
six	70
two	84
eight	5
three	8
three	65
ten	78
five	56
four	69
four	70
nine	82
ten	26
four	93
eight	10
two	66
four	1
one	69
ten	89
one	74
four	79
ten	46
four	86
ten	52
four	6
nine	57
four	11
ten	20
two	78
ten	1
four	81
six	18
one	27
eight	54
one	43
eight	85
one	65
three	79
ten	1
five	22
three	45
six	46
ten	16
eight	38
four	16
eight	73
six	37
eight	1
four	81
seven	44
eight	51
three	6
nine	89
one	81
five	79
three	44
six	23
four	1
nine	65
ten	62
seven	4
two	96
six	52
ten	67
two	21
two	39
seven	44
five	45
seven	56
two	51
seven	8
two	51
eight	86
six	5
one	73
two	30
eight	26
three	48
two	38
ten	44
seven	43
one	71
four	19
nine	58
three	37
six	13
three	8
ten	16
one	38
four	15
three	24
three	70
five	56
six	13
three	30
two	43
three	99
five	5
eight	53
eight	65
six	58
one	17
six	63
three	58
ten	67
four	0
eight	31
five	37
six	34
seven	6
five	91
nine	39
three	81
one	52
four	20
nine	80
seven	56
eight	51
eight	61
eight	18
six	47
one	5
nine	12
nine	84
five	99
three	28
three	74
six	26
nine	78
six	80
six	56
six	22
two	16
nine	60
seven	83
seven	32
three	25
seven	3
eight	4
three	36
four	76
three	53
four	60
one	41
seven	48
three	73
ten	32
three	28
three	0
four	51
ten	92
seven	75
two	78
four	30
eight	30
six	69
nine	78
eight	55
five	48
six	8
six	32
seven	87
seven	16
five	8
six	2
four	92
two	79
two	41
three	31
one	48
four	56
eight	96
ten	80
five	49
one	11
seven	93
five	19
eight	29
six	35
five	9
four	18
eight	40
eight	58
seven	83
seven	83
three	5
two	51
ten	30
eight	18
seven	14
four	42
ten	45
two	14
seven	83
ten	63
four	25
nine	70
three	0
ten	41
two	1
eight	90
one	21
two	76
one	34
one	54
five	21
three	11
nine	98
three	65
six	31
two	12
four	48
five	96
nine	20
nine	79
eight	41
seven	73
ten	35
four	12
three	17
five	58
one	93
eight	63
two	30
two	27
seven	40
five	60
seven	81
nine	53
four	31
two	49
seven	63
four	5
three	12
ten	99
nine	73
seven	32
five	24
eight	80
seven	65
four	97
one	71
seven	22
two	47
two	88
three	80
nine	10
three	45
four	42
six	49
three	4
ten	80
one	22
two	15
five	89
four	34
three	9
three	41
two	26
two	23
seven	2
four	85
six	41
six	5
seven	61
eight	79
one	49
two	58
seven	32
nine	28
five	91
eight	71
ten	1
ten	40
one	36
eight	57
eight	7
ten	56
six	86
seven	95
nine	37
five	17
two	56
one	30
three	25
eight	5
eight	73
two	97
eight	36
eight	49
six	78
eight	92
seven	21
two	63
ten	53
two	60
eight	46
three	54
seven	26
seven	17
nine	4
five	70
one	53
nine	63
ten	78
eight	94
eight	13
four	2
seven	15
six	53
one	71
eight	85
seven	18
eight	96
seven	53
four	66
six	58
seven	98
two	94
three	82
four	93
nine	93
two	77
seven	5
one	25
three	0
one	15
eight	89
two	1
five	49
two	42
two	77
six	8
ten	74
ten	32
two	31
eight	86
nine	55
eight	23
five	18
ten	65
one	14
nine	33
ten	89
four	72
nine	28
nine	63
three	4
nine	80
ten	25
three	52
five	90
three	90
nine	63
seven	28
eight	87
one	89
five	15
ten	5
eight	28
six	30
two	90
four	11
five	7
eight	77
one	7
eight	74
eight	47
six	41
ten	53
nine	42
one	0
two	22
five	30
three	65
seven	74
eight	78
one	22
ten	52
two	22
eight	68
nine	18
five	47
seven	40
six	92
four	20
ten	51
six	85
four	55
two	98
nine	23
six	82
ten	42
two	8
one	51
nine	50
four	65
eight	78
seven	7
ten	41
nine	69
ten	56
ten	69
seven	51
three	14
six	6
two	52
four	79
five	88
five	91
three	93
seven	31
one	79
one	54
six	23
three	78
ten	83
seven	68
ten	53
one	30
ten	14
two	11
nine	19
five	31
three	50
four	57
seven	41
two	54
three	0
seven	4
seven	6
nine	95
one	1
eight	28
four	69
six	66
seven	50
three	45
four	38
eight	59
nine	84
four	4
five	10
ten	57
ten	15
eight	4
nine	30
four	82
seven	38
six	40
four	43
nine	35
five	12
seven	97
three	43
four	55
one	99
seven	54
seven	84
five	98
ten	15
five	68
two	44
two	27
ten	58
one	97
nine	1
three	44
eight	40
five	76
eight	42
nine	81
nine	73
one	15
six	68
six	88
two	29
ten	51
five	77
six	71
six	99
eight	86
four	5
four	13
one	91
seven	37
six	43
ten	67
six	37
seven	52
eight	43
five	16
five	96
five	48
two	85
seven	97
five	18
one	99
one	33
one	74
four	82
four	55
three	69
three	62
six	46
three	83
two	29
one	4
seven	72
two	17
ten	64
two	14
eight	70
seven	85
four	63
three	87
three	83
three	61
seven	63
five	53
one	49
three	81
five	8
seven	49
nine	85
seven	0
three	39
two	19
one	87
eight	0
four	2
four	82
five	31
six	67
two	60
two	17
one	23
nine	91
two	79
ten	56
seven	16
one	52
eight	9
nine	6
nine	34
nine	69
seven	52
ten	68
nine	52
six	51
two	33
six	86
three	24
seven	94
eight	2
eight	98
seven	53
three	32
ten	78
three	88
seven	13
seven	75
one	52
three	14
six	42
one	80
nine	11
two	93
eight	75
three	86
five	2
ten	82
five	23
eight	86
eight	32
four	90
seven	75
eight	49
four	81
six	53
two	97
three	66
four	63
nine	85
three	15
one	85
five	11
one	31
seven	5
nine	0
four	11
three	79
three	1
eight	92
six	61
seven	27
five	46
ten	17
nine	89
eight	96
six	68
four	88
one	59
nine	2
five	57
seven	91
four	27
six	56
four	28
ten	7
three	2
ten	15
five	30
seven	3
five	6
one	56
six	28
seven	77
ten	37
ten	29
nine	11
two	25
five	69
six	2
eight	53
seven	43
four	10
two	39
ten	8
eight	63
one	96
four	15
four	0
six	32
one	76
three	20
eight	51
one	92
three	39
six	4
five	6
five	21
three	96
five	3
five	86
one	83
two	99
three	56
ten	85
five	54
seven	18
seven	42
one	89
seven	16
five	77
three	1
three	2
three	46
four	5
six	7
four	1
nine	68
seven	18
seven	38
one	3
five	81
six	75
ten	30
eight	58
three	59
one	10
seven	18
ten	59
seven	43
seven	34
one	11
three	83
one	43
two	73
two	6
ten	57
six	3
eight	63
three	33
ten	61
six	36
three	24
four	13
three	73
nine	81
nine	63
three	96
ten	48
ten	95
nine	34
four	26
two	28
four	7
four	65
four	27
five	92
five	35
ten	52
five	87
four	6
eight	45
ten	46
eight	97
ten	47
one	41
ten	83
three	32
ten	82
six	60
nine	12
eight	84
four	30
three	1
eight	49
ten	7
three	25
one	38
two	52
eight	44
one	45
nine	84
eight	89
seven	87
three	33
seven	78
six	27
three	98
ten	26
four	83
eight	54
three	27
ten	12
eight	84
eight	10
six	10
two	78
six	67
three	93
three	38
ten	71
six	84
five	76
one	3
seven	12
five	69
ten	22
five	81
four	68
four	21
seven	74
one	40
four	48
five	77
six	11
five	14
six	73
five	35
two	93
eight	81
eight	64
one	79
nine	27
four	70
three	75
ten	15
five	15
two	47
nine	59
seven	21
six	45
ten	40
ten	90
three	24
six	29
four	85
ten	64
three	58
six	18
eight	49
seven	98
ten	73
five	75
two	96
six	72
three	22
four	3
ten	53
six	8
four	93
two	43
four	62
eight	92
nine	43
seven	74
five	78
ten	68
seven	32
four	45
six	76
ten	19
eight	37
four	98
six	59
two	60
one	9
six	13
nine	23
six	12
seven	81
seven	46
five	68
five	64
one	80
one	59
two	14
nine	32
six	77
seven	15
one	18
two	7
six	72
ten	5
nine	66
two	67
one	80
two	95
nine	17
five	61
five	3
three	68
one	49
seven	2
four	59
seven	0
four	68
six	43
ten	25
three	55
two	65
six	18
six	19
two	66
five	62
three	91
two	0
four	26
two	72
ten	15
three	46
four	88
five	83
two	60
seven	90
three	96
one	11
eight	45
seven	21
ten	8
one	95
three	93
eight	83
one	8
one	15
seven	71
five	90
eight	22
three	68
nine	59
two	97
nine	16
eight	78
ten	36
six	38
seven	70
nine	38
eight	85
five	93
four	6
eight	13
six	6
six	46
four	2
nine	27
six	57
six	97
nine	63
one	68
six	10
eight	36
eight	80
eight	85
three	57
seven	55
one	34
ten	6
two	71
six	59
eight	50
six	49
five	2
